species,Model,AIC,deltaAIC,w
Anthocharis euphenoides,Oct_preNov_pre,123.53242329701405,0,0.11374405676490382
Anthocharis euphenoides,MayJun,123.79704680870368,0.26462351168963494,0.09964750935329912
Anthocharis euphenoides,Jun,124.37948214824499,0.8470588512309405,0.07447186347923059
Anthocharis euphenoides,JunJulAug,124.98871005601681,1.456286759002765,0.054916147378745124
Anthocharis euphenoides,MayJunJul,125.24828343446092,1.7158601374468674,0.04823190538506218
Anthocharis euphenoides,JunJul,125.36316134559706,1.8307380485830151,0.045539577541877034
Anthocharis euphenoides,AprMayJun,125.56117366922969,2.02875037221564,0.041246886128509255
Anthocharis euphenoides,Oct_preNov_preDec_pre,125.58473154593268,2.052308248918635,0.04076389176437327
Anthocharis euphenoides,FebMarApr,126.16522050945122,2.6327972124371684,0.030494678775853008
Anthocharis euphenoides,JanFebMar,126.20337515525593,2.670951858241878,0.02991843600334404
Anthocharis euphenoides,May,126.39326103864889,2.860837741634839,0.027208568373523603
Anthocharis euphenoides,FebMar,126.42552424854432,2.893100951530272,0.026773171762242802
Anthocharis euphenoides,JulAugSep,126.49766640956489,2.965243112550837,0.02582464457204964
Anthocharis euphenoides,Jan,126.6504518413278,3.118028544313745,0.023925301426981967
Anthocharis euphenoides,MarAprMay,126.69772187372028,3.1652985767062347,0.023366456706891536
Anthocharis euphenoides,AugSep,126.89843470467946,3.366011407665411,0.021135310061051318
Anthocharis euphenoides,JulAug,126.90381149372031,3.3713881967062633,0.021078566318255398
Anthocharis euphenoides,Oct_pre,126.94071836939652,3.4082950723824723,0.02069316126582339
Anthocharis euphenoides,Nov_pre,126.96769766498608,3.4352743679720277,0.02041589214453837
Anthocharis euphenoides,Sep,126.98137041537169,3.448947118357637,0.020276797439465463
Anthocharis euphenoides,AprMay,127.09014951290501,3.557726215890966,0.01920340679052121
Anthocharis euphenoides,Dec_preJanFeb,127.0955279431754,3.5631046461613494,0.019151834074477802
Anthocharis euphenoides,Mar,127.13943009719578,3.607006800181736,0.018736011265945547
Anthocharis euphenoides,Aug,127.42631401452032,3.8938907175062667,0.016232338391524787
Aporia crataegi,MarAprMay,165.5671349480962,0,0.7764306630522961
Aporia crataegi,AprMay,168.18028101135792,2.6131460632617234,0.21021573496828705
Argynnis pandora,JulAug,39.39696390395552,0,0.7607399601075788
Argynnis pandora,JulAugSep,42.6465460408653,3.2495821369097797,0.14982988085807794
Aricia montensis,AprMayJun,44.402564949393344,0,0.1297202600852662
