species,site,site_id,year,sum_doy_bichos,sum_conteos,weigth_mean_date
Anthocharis euphenoides,Durcal,45,2017,2226,14,159
Anthocharis euphenoides,Durcal,45,2019,9442,68,139
Anthocharis euphenoides,Durcal,45,2020,4580,27,170
Anthocharis euphenoides,Durcal,45,2021,8433,49,172
Anthocharis euphenoides,Durcal,45,2022,3848,26,148
Anthocharis euphenoides,Pitres,48,2015,1704,13,131
Anthocharis euphenoides,Pitres,48,2016,1284,11,117
Anthocharis euphenoides,Pitres,48,2017,1453,13,112
Anthocharis euphenoides,Pitres,48,2018,1552,11,141
Anthocharis euphenoides,Pitres,48,2019,902,8,113
Anthocharis euphenoides,Pitres,48,2021,708,6,118
Anthocharis euphenoides,Robledal de Dilar,23,2013,1326,9,147
Anthocharis euphenoides,Robledal de Dilar,23,2016,460,3,153
Anthocharis euphenoides,Robledal de Dilar,23,2017,1444,11,131
Anthocharis euphenoides,Robledal de Dilar,23,2019,1151,8,144
Anthocharis euphenoides,Robledal de Dilar,23,2021,983,7,140
Aporia crataegi,Durcal,45,2014,14715,83,177
Aporia crataegi,Durcal,45,2015,15781,91,173
Aporia crataegi,Durcal,45,2017,4316,25,173
Aporia crataegi,Durcal,45,2018,11295,59,191
Aporia crataegi,Durcal,45,2019,11184,62,180
Aporia crataegi,Durcal,45,2021,2228,12,186
Aporia crataegi,Durcal,45,2022,3000,17,176
Aporia crataegi,Matas Verdes,21,2012,34446,195,177
Aporia crataegi,Matas Verdes,21,2013,16545,88,188
Aporia crataegi,Matas Verdes,21,2014,22269,129,173
Aporia crataegi,Matas Verdes,21,2016,4351,24,181
Aporia crataegi,Matas Verdes,21,2017,6732,42,160
Aporia crataegi,Matas Verdes,21,2019,3215,19,169
Aporia crataegi,Purche,20,2012,50850,309,165
Aporia crataegi,Purche,20,2013,56605,331,171
Aporia crataegi,Purche,20,2014,48002,309,155
Aporia crataegi,Purche,20,2015,23045,147,157
Aporia crataegi,Purche,20,2016,9662,57,170
Aporia crataegi,Purche,20,2019,8952,54,166
Aporia crataegi,Purche,20,2020,8628,53,163
Aporia crataegi,Purche,20,2021,21838,134,163
Aporia crataegi,Robledal de Dilar,23,2012,22403,132,170
Aporia crataegi,Robledal de Dilar,23,2013,11474,64,179
Aporia crataegi,Robledal de Dilar,23,2014,21480,127,169
