species,nsites,model_type,Model,effect,term,estimate,std.error,statistic,p_value,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual,r2.R2m,r2.R2c,null.deviance,df.null,deviance,r2
Anthocharis euphenoides,3,mixed,JanFebMar,fixed,(Intercept),140.86887793453738,11.174092116485427,12.606740347764797,0,16,10.250335790710299,-58.097920515078094,124.19584103015619,127.28619591911531,116.19584103015619,12,0.06394648815133,0.7861054195162485,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,JanFebMar,fixed,scale(x),5.604624895346516,2.725615852569561,2.0562783600127594,0.0398,16,10.250335790710299,-58.097920515078094,124.19584103015619,127.28619591911531,116.19584103015619,12,0.06394648815133,0.7861054195162485,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,MarAprMay,fixed,(Intercept),140.83729268273535,10.686913216231098,13.178481927675255,0,16,10.447117010386295,-58.262173518577704,124.52434703715541,127.61470192611453,116.52434703715541,12,0.06032353733659784,0.7621361484694216,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,MarAprMay,fixed,scale(x),5.261088843480561,2.7087741940213474,1.9422397241868803,0.0521,16,10.447117010386295,-58.262173518577704,124.52434703715541,127.61470192611453,116.52434703715541,12,0.06032353733659784,0.7621361484694216,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,Dec_preJanFeb,fixed,(Intercept),140.85124775668984,11.29488486830556,12.470357104031297,0,16,10.681840457133672,-58.57409580385499,125.14819160770998,128.2385464966691,117.14819160770998,12,0.050387179732554487,0.7720232622979301,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,Dec_preJanFeb,fixed,scale(x),5.021816567269645,2.9567095486495383,1.698447711769096,0.0894,16,10.681840457133672,-58.57409580385499,125.14819160770998,128.2385464966691,117.14819160770998,12,0.050387179732554487,0.7720232622979301,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,JanFeb,fixed,(Intercept),140.86656307146907,11.60044605378382,12.143202288805211,0,16,10.696868888256228,-58.59439896719279,125.18879793438558,128.2791528233447,117.18879793438558,12,0.05100534434940096,0.781306438235149,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,JanFeb,fixed,scale(x),5.165906194608537,3.1125209575517334,1.6597177224059458,0.097,16,10.696868888256228,-58.59439896719279,125.18879793438558,128.2791528233447,117.18879793438558,12,0.05100534434940096,0.781306438235149,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,JunJulAug,fixed,(Intercept),140.82715650359526,10.819867807903764,13.01560786174513,0,16,10.748622018247605,-58.61723310669976,125.23446621339951,128.32482110235864,117.23446621339951,12,0.04836137432451258,0.7528908775680652,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,JunJulAug,fixed,scale(x),4.755078804546007,2.81802517392896,1.6873798178021095,0.0915,16,10.748622018247605,-58.61723310669976,125.23446621339951,128.32482110235864,117.23446621339951,12,0.04836137432451258,0.7528908775680652,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,MayJunJul,fixed,(Intercept),140.8019977489147,10.605445336127609,13.276387109296634,0,16,10.903042864524133,-58.75565963002331,125.51131926004662,128.60167414900573,117.51131926004662,12,0.044342232661531436,0.7381517876095143,NA,NA,NA,NA
