ID_Visit;Year;Date;ID_Site;Site;Species;ntotal
92;2012;29/8/12;16_20;Purche;Chazara briseis;9
92;2012;29/8/12;16_20;Purche;Hyponephele;10
93;2012;28/8/12;16_21;Matas Verdes;Hipparchia hermione;1
94;2012;27/8/12;16_23;Robledal de Dilar;Hyponephele;1
96;2012;22/8/12;16_24;Campos de Otero;Satyrus actaea;11
97;2012;22/8/12;16_16;Borreguiles San Juan;Satyrus actaea;5
99;2012;14/8/12;16_18;Loma de Papeles Bajo;Chazara briseis;2
99;2012;14/8/12;16_18;Loma de Papeles Bajo;Hipparchia hermione;1
99;2012;14/8/12;16_18;Loma de Papeles Bajo;Hyponephele;2
99;2012;14/8/12;16_18;Loma de Papeles Bajo;Satyrus actaea;8
100;2012;14/8/12;16_17;Loma de Papeles Alto;Satyrus actaea;7
101;2012;13/8/12;16_14;Laguna Seca;Satyrus actaea;91
102;2012;10/8/12;16_20;Purche;Chazara briseis;8
102;2012;10/8/12;16_20;Purche;Hyponephele;4
103;2012;9/8/12;16_16;Borreguiles San Juan;Hyponephele;4
103;2012;9/8/12;16_16;Borreguiles San Juan;Satyrus actaea;22
104;2012;9/8/12;16_24;Campos de Otero;Hyponephele;5
104;2012;9/8/12;16_24;Campos de Otero;Satyrus actaea;71
105;2012;8/8/12;16_23;Robledal de Dilar;Hipparchia hermione;14
105;2012;8/8/12;16_23;Robledal de Dilar;Hipparchia semele;4
105;2012;8/8/12;16_23;Robledal de Dilar;Hyponephele;23
105;2012;8/8/12;16_23;Robledal de Dilar;Melanargia lachesis;1
105;2012;8/8/12;16_23;Robledal de Dilar;Satyrus actaea;11
106;2012;27/7/12;16_18;Loma de Papeles Bajo;Hipparchia hermione;3
106;2012;27/7/12;16_18;Loma de Papeles Bajo;Hyponephele;10
106;2012;27/7/12;16_18;Loma de Papeles Bajo;Satyrus actaea;28
107;2012;27/7/12;16_17;Loma de Papeles Alto;Lycaena alciphron;1
107;2012;27/7/12;16_17;Loma de Papeles Alto;Satyrus actaea;97
109;2012;21/8/12;16_18;Loma de Papeles Bajo;Satyrus actaea;3
110;2012;21/8/12;16_17;Loma de Papeles Alto;Satyrus actaea;2
111;2012;7/8/12;16_21;Matas Verdes;Hipparchia hermione;1
111;2012;7/8/12;16_21;Matas Verdes;Hyponephele;35
111;2012;7/8/12;16_21;Matas Verdes;Melanargia lachesis;20
111;2012;7/8/12;16_21;Matas Verdes;Satyrus actaea;14
112;2012;27/7/12;16_24;Campos de Otero;Hyponephele;50
112;2012;27/7/12;16_24;Campos de Otero;Parnassius apollo;1
112;2012;27/7/12;16_24;Campos de Otero;Satyrus actaea;49
113;2012;25/7/12;16_23;Robledal de Dilar;Euphydryas aurinia;1
113;2012;25/7/12;16_23;Robledal de Dilar;Hipparchia hermione;19
113;2012;25/7/12;16_23;Robledal de Dilar;Hyponephele;64
113;2012;25/7/12;16_23;Robledal de Dilar;Melanargia lachesis;101
113;2012;25/7/12;16_23;Robledal de Dilar;Satyrus actaea;4
114;2012;23/7/12;16_14;Laguna Seca;Satyrus actaea;144
115;2012;11/7/12;16_18;Loma de Papeles Bajo;Chazara briseis;1
115;2012;11/7/12;16_18;Loma de Papeles Bajo;Hipparchia hermione;4
115;2012;11/7/12;16_18;Loma de Papeles Bajo;Hyponephele;35
115;2012;11/7/12;16_18;Loma de Papeles Bajo;Lycaena alciphron;5
115;2012;11/7/12;16_18;Loma de Papeles Bajo;Melanargia occitanica;1
