transecto,id_transect,abb_elev,abreviatura,altitud,site_id
Altas cumbres,16_15,AC (3126),AC,3126,15
Carihuela,16_38,CAR (3203),CAR,3203,38
Cauchiles,16_37,CAU (2808),CAU,2808,37
Borreguiles San Juan,16_16,BOSJ (2545),BOSJ,2545,16
Loma de Papeles Alto,16_17,PA (2400),PA,2400,17
Campos de Otero,16_24,CO (2248),CO,2248,24
Laguna seca,16_14,LS (2282),LS,2282,14
Sabinas,16_36,SA (2180),SA,2180,36
Loma de Papeles Bajo,16_18,PB (2121),PB,2121,18
Dúrcal,16_45,DU (1950),DU,1950,45
Praillos,16_35,PRA (1894),PRA,1894,35
Matas Verdes,16_21,MV (1919),MV,1919,21
Robledal Dílar,16_23,DI (1720),DI,1720,23
Catifas,16_34,CAT (1666),CAT,1666,34
Purche,16_20,PU (1442),PU,1442,20
Barranco de San Juan,16_33,BSJ (1362),BSJ,1362,33
Pitres,16_48,PI (1379),PI,1379,48
Fabriquilla,16_32,FA (992),FA,992,32
Turbera,16_49,TU (745),TU,745,49
Laguna,16_46,LP (732),LP,732,46
