species,site_id,mk_tau,mk_pvalue,sen_slope,sen_stats,sen_pvalue,lm_slope,lm_pvalue,lm_rsquared,transecto,id_transect,abb_elev,abreviatura,altitud
Aglais urticae,14,0,1,0.10416666666666667,-0,1,-0.6108108108108682,0.8586679089444016,0.004852135087636556,Laguna seca,16_14,LS (2282),LS,2282
Aglais urticae,15,0.06666667014360428,0.8580276966094971,0.5,0.17888543819998318,0.8580276569875211,-0.4655647382920428,0.7992856716795862,0.008564323584560574,Altas cumbres,16_15,AC (3126),AC,3126
Aglais urticae,16,0.09090909361839294,0.7554968595504761,0.5,0.3113995776646092,0.7554968749288828,0.20000000000000046,0.9438736821879914,5.819406035830068e-4,Borreguiles San Juan,16_16,BOSJ (2545),BOSJ,2545
Aglais urticae,17,0.02222222276031971,1,0.3333333333333333,0,1,-0.3939393939393681,0.9094901441604857,0.0017178588607159372,Loma de Papeles Alto,16_17,PA (2400),PA,2400
Aglais urticae,18,0.02222222276031971,1,0.3333333333333333,0,1,-0.3939393939393681,0.9094901441604857,0.0017178588607159372,Loma de Papeles Bajo,16_18,PB (2121),PB,2121
Aglais urticae,20,-0.4000000059604645,0.46243271231651306,-7.375,-0.7348469228349533,0.4624327264504763,-3.0380434782608496,0.26570098111911344,0.383009991959367,Purche,16_20,PU (1442),PU,1442
Aglais urticae,21,0.09090909361839294,0.7554968595504761,0.5,0.3113995776646092,0.7554968749288828,0.20000000000000046,0.9438736821879914,5.819406035830068e-4,Matas Verdes,16_21,MV (1919),MV,1919
Aglais urticae,23,0.06666667014360428,0.8580276966094971,0.5,0.17888543819998318,0.8580276569875211,-0.4655647382920428,0.7992856716795862,0.008564323584560574,Robledal Dílar,16_23,DI (1720),DI,1720
Aglais urticae,24,0.09090909361839294,0.7554968595504761,0.5,0.3113995776646092,0.7554968749288828,0.20000000000000046,0.9438736821879914,5.819406035830068e-4,Campos de Otero,16_24,CO (2248),CO,2248
Aglais urticae,33,0.1666666716337204,0.6021676063537598,0.8333333333333333,0.5212860351426869,0.6021675277481959,0.2150423728813451,0.8812020006185194,0.0034200565414378614,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Aglais urticae,34,0.0476190485060215,1,0.6,0,1,-0.12198795180724478,0.9429769887264399,0.0011295180722896564,Catifas,16_34,CAT (1666),CAT,1666
Aglais urticae,35,0.0714285746216774,0.901538610458374,0.5833333333333333,0.12371791482634838,0.9015386266571278,-0.15706806282722824,0.9192777568729111,0.0018580606801330089,Praillos,16_35,PRA (1894),PRA,1894
Aglais urticae,36,0.4000000059604645,0.46243274211883545,2.7083333333333335,0.7348469228349533,0.4624327264504763,1.20270270270265,0.37005377892324465,0.2694877657113286,Sabinas,16_36,SA (2180),SA,2180
Aglais urticae,38,0.0714285746216774,0.901538610458374,0.5833333333333333,0.12371791482634838,0.9015386266571278,0.10656753407681842,0.9460751891565158,8.280455304125341e-4,Carihuela,16_38,CAR (3203),CAR,3203
Aglais urticae,45,0.1111111119389534,0.7544541358947754,1.5,0.3127716210856122,0.754454177494089,-0.4499999999998662,0.9178505440856557,0.0016305320291056119,Dúrcal,16_45,DU (1950),DU,1950
Aglais urticae,48,0.6000000238418579,0.22067129611968994,5.625,1.224744871391589,0.2206713619198468,3.222826086956625,0.6374059180333878,0.08343385442966167,Pitres,16_48,PI (1379),PI,1379
